augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001751,0.029558,0.080721,3367,337,10,41,24,0,288,29.0,8.0,57.0,0.075357,0.052569
identity,ridge,0.001752,0.029526,0.059582,3367,337,10,17,0,0,0,,,,0.061106,0.06438
rff_10,ridge,0.001766,0.029651,0.046247,3367,337,10,27,10,0,170,,,,0.042048,0.06476
rff_30,ridge,0.001767,0.02982,0.061728,3367,337,10,47,30,0,510,,,,0.058238,0.059148
qunified_z_8q_3L_3ens_pca,ridge,0.001784,0.029911,0.022831,3367,337,10,41,24,0,288,29.0,8.0,57.0,0.017407,0.06146
rff_96,ridge,0.001797,0.030243,0.048575,3367,337,10,113,96,0,1632,,,,0.047074,0.050386
rff_50,ridge,0.001801,0.029992,0.01896,3367,337,10,67,50,0,850,,,,0.018476,0.046439
poly_deg2_interact,ridge,0.002127,0.032654,0.051467,3367,337,10,153,136,0,0,,,,0.05811,0.060632
poly_deg2,ridge,0.00215,0.032934,0.075594,3367,337,10,170,153,0,0,,,,0.079137,0.080958
interaction_log,ridge,0.002204,0.033052,0.061054,3367,337,10,187,170,0,0,,,,0.069524,0.087849
