augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
identity,ridge,0.001752,0.029526,0.059582,3367,337,10,17,0,0,0,,,,0.061106,0.06438
qunified_z_8q_3L_3ens,ridge,0.001752,0.029653,0.083359,3367,337,10,41,24,0,288,29.0,8.0,57.0,0.072807,0.064736
rff_30,ridge,0.001755,0.029726,0.079392,3367,337,10,47,30,0,510,,,,0.07948,0.060953
rff_10,ridge,0.00176,0.029672,0.055053,3367,337,10,27,10,0,170,,,,0.057363,0.059856
qunified_z_8q_3L_3ens_pca,ridge,0.001763,0.029849,0.056774,3367,337,10,41,24,0,288,29.0,8.0,57.0,0.045341,0.071196
rff_96,ridge,0.001782,0.029941,0.061681,3367,337,10,113,96,0,1632,,,,0.062275,0.055835
rff_50,ridge,0.001789,0.029913,0.038058,3367,337,10,67,50,0,850,,,,0.037421,0.068224
poly_deg2_interact,ridge,0.002127,0.032654,0.051467,3367,337,10,153,136,0,0,,,,0.05811,0.060632
poly_deg2,ridge,0.00215,0.032934,0.075594,3367,337,10,170,153,0,0,,,,0.079137,0.080958
interaction_log,ridge,0.002204,0.033052,0.061054,3367,337,10,187,170,0,0,,,,0.069524,0.087849
