augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001732,0.029402,0.109559,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.107657,0.067079
identity,ridge,0.001746,0.029497,0.066603,3367,337,10,14,0,0,0,,,,0.069509,0.06404
rff_30,ridge,0.001756,0.029749,0.081213,3367,337,10,44,30,0,420,,,,0.075851,0.07888
qunified_z_8q_3L_3ens_pca,ridge,0.001757,0.029687,0.067095,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.055687,0.057651
rff_10,ridge,0.001765,0.029783,0.051221,3367,337,10,24,10,0,140,,,,0.046347,0.063072
rff_96,ridge,0.001773,0.029925,0.079863,3367,337,10,110,96,0,1344,,,,0.0794,0.054003
rff_50,ridge,0.001775,0.029811,0.0584,3367,337,10,64,50,0,700,,,,0.05375,0.074763
poly_deg2_interact,ridge,0.001958,0.031345,0.027154,3367,337,10,105,91,0,0,,,,0.025308,0.068409
poly_deg2,ridge,0.001982,0.031661,0.05963,3367,337,10,119,105,0,0,,,,0.061961,0.090184
interaction_log,ridge,0.002006,0.031669,0.051689,3367,337,10,133,119,0,0,,,,0.057028,0.094803
