augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
identity,ridge,0.001746,0.029497,0.066603,3367,337,10,14,0,0,0,,,,0.069509,0.06404
rff_10,ridge,0.001751,0.029482,0.067565,3367,337,10,24,10,0,140,,,,0.078462,0.064517
qunified_z_8q_3L_3ens,ridge,0.001752,0.029571,0.071658,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.071456,0.064732
rff_30,ridge,0.001755,0.029649,0.071218,3367,337,10,44,30,0,420,,,,0.067058,0.06157
qunified_z_8q_3L_3ens_pca,ridge,0.001767,0.029671,0.053557,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.048082,0.066001
rff_50,ridge,0.001777,0.029956,0.061024,3367,337,10,64,50,0,700,,,,0.059497,0.0623
rff_96,ridge,0.001788,0.029887,0.071354,3367,337,10,110,96,0,1344,,,,0.080565,0.063781
poly_deg2_interact,ridge,0.001958,0.031345,0.027154,3367,337,10,105,91,0,0,,,,0.025308,0.068409
poly_deg2,ridge,0.001982,0.031661,0.05963,3367,337,10,119,105,0,0,,,,0.061961,0.090184
interaction_log,ridge,0.002006,0.031669,0.051689,3367,337,10,133,119,0,0,,,,0.057028,0.094803
