augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens_pca,ridge,0.001744,0.029464,0.079326,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.074442,0.06726
identity,ridge,0.001746,0.029497,0.066603,3367,337,10,14,0,0,0,,,,0.069509,0.06404
rff_10,ridge,0.001746,0.029561,0.076609,3367,337,10,24,10,0,140,,,,0.078104,0.080537
qunified_z_8q_3L_3ens,ridge,0.001752,0.029605,0.08772,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.084679,0.054082
rff_50,ridge,0.001776,0.029936,0.067929,3367,337,10,64,50,0,700,,,,0.067676,0.055492
rff_30,ridge,0.001779,0.029927,0.036603,3367,337,10,44,30,0,420,,,,0.034943,0.058536
rff_96,ridge,0.001779,0.02996,0.077616,3367,337,10,110,96,0,1344,,,,0.067108,0.057505
poly_deg2_interact,ridge,0.001958,0.031345,0.027154,3367,337,10,105,91,0,0,,,,0.025308,0.068409
poly_deg2,ridge,0.001982,0.031661,0.05963,3367,337,10,119,105,0,0,,,,0.061961,0.090184
interaction_log,ridge,0.002006,0.031669,0.051689,3367,337,10,133,119,0,0,,,,0.057028,0.094803
