augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
identity,ridge,0.001752,0.029526,0.059582,3367,337,10,17,0,0,0,,,,0.061106,0.06438
rff_10,ridge,0.001753,0.029565,0.066339,3367,337,10,27,10,0,170,,,,0.066442,0.067359
qunified_z_8q_3L_3ens,ridge,0.001759,0.029591,0.06279,3367,337,10,41,24,0,288,29.0,8.0,57.0,0.060108,0.060938
rff_30,ridge,0.001765,0.02972,0.060032,3367,337,10,47,30,0,510,,,,0.059052,0.057336
qunified_z_8q_3L_3ens_pca,ridge,0.001766,0.02966,0.053079,3367,337,10,41,24,0,288,29.0,8.0,57.0,0.052786,0.057649
rff_50,ridge,0.001781,0.02986,0.054347,3367,337,10,67,50,0,850,,,,0.059982,0.058429
rff_96,ridge,0.001791,0.029954,0.056333,3367,337,10,113,96,0,1632,,,,0.057945,0.048498
poly_deg2_interact,ridge,0.002127,0.032654,0.051467,3367,337,10,153,136,0,0,,,,0.05811,0.060632
poly_deg2,ridge,0.00215,0.032934,0.075594,3367,337,10,170,153,0,0,,,,0.079137,0.080958
interaction_log,ridge,0.002204,0.033052,0.061054,3367,337,10,187,170,0,0,,,,0.069524,0.087849
