augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,ic_mean_rolling_3m,ic_std_rolling_3m
identity,ridge,0.001746,0.029497,0.066603,3367,337,10,14,0,0,0,,,,0.069509,0.06404
qunified_z_8q_3L_3ens,ridge,0.001748,0.029536,0.082096,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.085957,0.062111
rff_10,ridge,0.001765,0.029651,0.046893,3367,337,10,24,10,0,140,,,,0.04592,0.065956
rff_30,ridge,0.001768,0.029749,0.059077,3367,337,10,44,30,0,420,,,,0.055722,0.053955
qunified_z_8q_3L_3ens_pca,ridge,0.00177,0.029887,0.042846,3367,337,10,38,24,0,288,29.0,8.0,57.0,0.035022,0.059044
rff_50,ridge,0.001785,0.03006,0.056932,3367,337,10,64,50,0,700,,,,0.04961,0.083631
rff_96,ridge,0.001787,0.030215,0.07379,3367,337,10,110,96,0,1344,,,,0.086887,0.058036
poly_deg2_interact,ridge,0.001958,0.031345,0.027154,3367,337,10,105,91,0,0,,,,0.025308,0.068409
poly_deg2,ridge,0.001982,0.031661,0.05963,3367,337,10,119,105,0,0,,,,0.061961,0.090184
interaction_log,ridge,0.002006,0.031669,0.051689,3367,337,10,133,119,0,0,,,,0.057028,0.094803
